Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
14,Jamal Lewis (FA),308,1327,4.3,75,0,6,47,60,442,9.4,1,7,16,204.9,12.8,0.0%,2002,rb
15,Marshall Faulk (FA),212,953,4.5,44,0,8,80,102,537,6.7,2,3,14,203.0,14.5,0.0%,2002,rb
16,Corey Dillon (FA),314,1311,4.2,67,0,7,43,61,298,6.9,0,2,16,198.9,12.4,0.0%,2002,rb
17,Michael Bennett (FA),255,1296,5.1,85,0,5,37,41,351,9.5,1,3,16,194.7,12.2,0.0%,2002,rb
18,Curtis Martin (FA),261,1094,4.2,35,0,7,49,56,362,7.4,0,0,16,189.6,11.9,0.0%,2002,rb
19,Garrison Hearst (FA),215,972,4.5,40,0,8,48,69,317,6.6,1,3,16,178.9,11.2,0.0%,2002,rb
20,Warrick Dunn (FA),230,927,4.0,59,0,7,50,65,377,7.5,2,3,15,178.4,11.9,0.0%,2002,rb
21,James Stewart (FA),231,1021,4.4,56,0,4,46,70,333,7.2,2,0,14,171.4,12.2,0.0%,2002,rb
22,Marcel Shipp (FA),188,834,4.4,56,0,6,38,49,413,10.9,3,4,15,170.7,11.4,0.0%,2002,rb
23,Antowain Smith (FA),252,982,3.9,42,0,6,31,42,243,7.8,2,1,16,170.5,10.7,0.0%,2002,rb
24,Edgerrin James (FA),277,989,3.6,20,0,2,61,80,354,5.8,1,2,14,150.3,10.7,0.0%,2002,rb
25,Stephen Davis (FA),207,820,4.0,33,0,7,23,33,142,6.2,1,4,12,136.2,11.4,0.0%,2002,rb
26,Emmitt Smith (FA),254,975,3.8,30,0,5,16,24,89,5.6,0,1,16,134.4,8.4,0.0%,2002,rb
27,Moe Williams (FA),84,414,4.9,44,0,11,27,41,251,9.3,0,0,16,132.5,8.3,0.0%,2002,rb
28,William Green (FA),243,887,3.7,64,0,6,16,27,113,7.1,0,2,16,132.0,8.3,0.0%,2002,rb
